city,cityId,country,countryId,date,activeUsers,newUsers,sessions,averageSessionDuration,bounceRate,engagedSessions,engagementRate,eventCount,eventCountPerUser
Los Angeles,1013962,United States,US,2022-12-03,66,61,78,108.38536162820512,0.6025641025641025,31,0.3974358974358974,393,5.954545454545454
Los Angeles,1013962,United States,US,2022-12-02,34,32,45,63.34361191111111,0.6222222222222222,17,0.3777777777777777,237,6.970588235294118
New York,1023191,United States,US,2022-11-10,30,27,31,197.95760516129036,0.4838709677419355,16,0.5161290322580645,169,5.633333333333334
Los Angeles,1013962,United States,US,2022-12-04,25,21,34,50.404147352941166,0.7058823529411765,10,0.2941176470588235,172,6.88
London,1006886,United Kingdom,GB,2022-11-10,19,18,20,19.4124708,0.75,5,0.25,81,4.2631578947368425
Los Angeles,1013962,United States,US,2022-11-10,18,17,19,91.86574300000001,0.5789473684210527,8,0.4210526315789473,98,5.444444444444445
(not set),(not set),United States,US,2022-11-10,17,16,17,15.959331941176472,0.6470588235294118,6,0.3529411764705882,71,4.176470588235294
Las Vegas,1022639,United States,US,2022-11-14,14,14,16,12.563257375,0.875,2,0.125,64,4.571428571428571
New York,1023191,United States,US,2022-11-11,11,10,12,184.13903441666665,0.8333333333333333,2,0.1666666666666666,55,5.0
Atlanta,1015254,United States,US,2022-11-10,9,9,9,3.809357555555556,1.0,0,0.0,34,3.7777777777777777
Munich,1004234,Germany,DE,2022-11-10,9,9,9,60.97219355555556,0.5555555555555555,4,0.4444444444444444,59,6.555555555555555
Boston,1018127,United States,US,2022-11-10,8,8,8,8.513762999999999,0.875,1,0.125,33,4.125
(not set),(not set),United States,US,2022-12-03,7,7,9,253.86117066666668,0.5555555555555555,4,0.4444444444444444,45,6.428571428571429
(not set),(not set),United States,US,2022-12-06,7,7,8,21.743051375,0.625,3,0.375,38,5.428571428571429
Las Vegas,1022639,United States,US,2022-12-03,7,7,8,135.420452125,0.375,5,0.625,50,7.142857142857143
Santa Monica,1014255,United States,US,2022-11-10,7,6,9,456.2983701111111,0.5555555555555555,4,0.4444444444444444,62,8.857142857142858
Las Vegas,1022639,United States,US,2022-12-02,6,6,7,181.475827,0.5714285714285714,3,0.4285714285714285,43,7.166666666666667
Montreal,1002604,Canada,CA,2022-11-10,6,6,6,1.8248598333333328,0.8333333333333333,1,0.1666666666666666,23,3.8333333333333335
New York,1023191,United States,US,2022-11-16,6,4,8,118.12092775,0.75,2,0.25,38,6.333333333333333
Washington,1014895,United States,US,2022-11-10,6,6,7,5.134129142857144,1.0,0,0.0,27,4.5
Ahmedabad,1007753,India,IN,2022-11-10,5,5,7,17.19133942857143,0.7142857142857143,2,0.2857142857142857,32,6.4
Andorra la Vella,1000006,Andorra,AD,2022-11-12,5,5,7,71.87107257142857,0.2857142857142857,5,0.7142857142857143,32,6.4
Baltimore,1018511,United States,US,2022-11-10,5,5,5,4.310012,0.8,1,0.2,24,4.8
Berlin,1003854,Germany,DE,2022-11-10,5,5,5,74.10001919999998,0.6,2,0.4,25,5.0
Dublin,1007850,Ireland,IE,2022-11-10,5,4,5,92.8427076,1.0,0,0.0,16,3.2
Los Angeles,1013962,United States,US,2022-11-14,5,5,6,373.4701708333334,0.5,3,0.5,23,4.6
Los Angeles,1013962,United States,US,2022-12-01,5,5,5,10.982241599999998,0.8,1,0.2,23,4.6
Los Angeles,1013962,United States,US,2022-12-06,5,3,6,31.32672616666667,0.5,3,0.5,32,6.4
New York,1023191,United States,US,2022-11-13,5,3,12,388.0787563333333,0.5833333333333333,5,0.4166666666666666,72,14.4
New York,1023191,United States,US,2022-12-06,5,4,5,5.8745206,0.8,1,0.2,20,4.0
Philadelphia,1025197,United States,US,2022-11-10,5,5,5,102.2493498,0.4,3,0.6,25,5.0
San Diego,1014218,United States,US,2022-12-03,5,4,6,11.780353666666668,0.6666666666666666,2,0.3333333333333333,25,5.0
Southampton,1007089,United Kingdom,GB,2022-11-10,5,5,6,11.5314185,0.8333333333333333,1,0.1666666666666666,25,5.0
Toronto,1002451,Canada,CA,2022-11-10,5,5,5,3.9263904,1.0,0,0.0,19,3.8
(not set),(not set),Germany,DE,2022-11-10,4,4,4,4.61402575,0.75,1,0.25,18,4.5
(not set),(not set),United States,US,2022-11-11,4,3,4,54.07793525,0.75,1,0.25,20,5.0
(not set),(not set),United States,US,2022-11-13,4,4,5,2.2312274,1.0,0,0.0,18,4.5
Chicago,1016367,United States,US,2022-11-10,4,4,4,71.5115475,0.75,1,0.25,21,5.25
Mumbai,1007785,India,IN,2022-11-10,4,4,4,17.5326105,0.75,1,0.25,16,4.0
Raleigh,1021278,United States,US,2022-11-10,4,4,4,3.74743625,1.0,0,0.0,15,3.75
Sao Paulo,1001773,Brazil,BR,2022-11-10,4,4,4,3.61257075,1.0,0,0.0,15,3.75
Singapore,1012096,Singapore,SG,2022-11-17,4,4,5,84.4542652,0.4,3,0.6,25,6.25
(not set),(not set),Andorra,AD,2022-11-12,3,1,6,649.1160733333334,0.8333333333333333,1,0.1666666666666666,28,9.333333333333332
(not set),(not set),Portugal,PT,2022-11-13,3,2,6,493.813887,0.3333333333333333,4,0.6666666666666666,100,33.333333333333336
(not set),(not set),United Kingdom,GB,2022-11-10,3,2,4,26.9720005,0.75,1,0.25,15,5.0
(not set),(not set),United States,US,2022-11-14,3,3,3,14.736327333333334,0.6666666666666666,1,0.3333333333333333,10,3.333333333333333
(not set),(not set),United States,US,2022-11-17,3,3,3,1.670045,0.6666666666666666,1,0.3333333333333333,12,4.0
(not set),(not set),United States,US,2022-11-27,3,3,3,76.891344,0.3333333333333333,2,0.6666666666666666,25,8.333333333333334
(not set),(not set),United States,US,2022-11-29,3,3,3,8.257458999999999,0.3333333333333333,2,0.6666666666666666,19,6.333333333333333
(not set),(not set),United States,US,2022-12-04,3,2,3,3.4446506666666665,0.6666666666666666,1,0.3333333333333333,10,3.333333333333333
Amsterdam,1010543,Netherlands,NL,2022-11-11,3,3,3,153.82816666666665,0.6666666666666666,1,0.3333333333333333,12,4.0
Ashburn,1027028,United States,US,2022-11-10,3,3,3,3.8075806666666665,1.0,0,0.0,11,3.6666666666666665
Athens,9061578,Greece,GR,2022-11-10,3,3,3,12.713891666666669,0.6666666666666666,1,0.3333333333333333,16,5.333333333333333
Bengaluru,1007768,India,IN,2022-11-18,3,3,4,76.01434900000001,0.5,2,0.5,28,9.333333333333332
Birmingham,1012954,United States,US,2022-11-10,3,3,5,3.9783886,1.0,0,0.0,17,5.666666666666667
Brisbane,1000339,Australia,AU,2022-11-11,3,2,3,16.763840666666667,0.6666666666666666,1,0.3333333333333333,13,4.333333333333333
Buenos Aires,1000073,Argentina,AR,2022-11-10,3,3,3,4.777362666666666,1.0,0,0.0,12,4.0
Cleveland,1023631,United States,US,2022-11-10,3,3,3,100.853561,0.6666666666666666,1,0.3333333333333333,18,6.0
Cork,1007835,Ireland,IE,2022-11-10,3,3,3,0.9910453333333332,1.0,0,0.0,10,3.333333333333333
Dallas,1026339,United States,US,2022-11-11,3,3,4,1.22287475,1.0,0,0.0,12,4.0
Delano,1013725,United States,US,2022-12-04,3,3,3,6.06819,1.0,0,0.0,14,4.666666666666667
Des Moines,1015746,United States,US,2022-11-10,3,3,3,2.5330076666666668,1.0,0,0.0,12,4.0
Des Moines,1015746,United States,US,2022-12-05,3,2,3,6.988093333333334,0.6666666666666666,1,0.3333333333333333,11,3.6666666666666665
Dubai,1000013,United Arab Emirates,AE,2022-12-07,3,1,4,58.58378275,0.75,1,0.25,16,5.333333333333333
Dusseldorf,1004615,Germany,DE,2022-11-11,3,3,4,1.14640325,1.0,0,0.0,12,4.0
East Orange,1022101,United States,US,2022-12-03,3,3,5,588.060905,0.4,3,0.6,28,9.333333333333332
Endicott,1022901,United States,US,2022-12-07,3,3,4,59.3749695,0.25,3,0.75,26,8.666666666666666
Fishers,1017093,United States,US,2022-11-10,3,3,4,77.56618475,0.5,2,0.5,20,6.666666666666667
Frankfurt,1004363,Germany,DE,2022-11-10,3,3,3,188.84407966666663,0.6666666666666666,1,0.3333333333333333,15,5.0
Gustine,1013840,United States,US,2022-12-02,3,3,3,36.246523333333336,0.0,3,1.0,18,6.0
Houston,1026481,United States,US,2022-11-28,3,3,3,5.5498666666666665,0.6666666666666666,1,0.3333333333333333,15,5.0
Indianapolis,1017146,United States,US,2022-11-10,3,3,3,4.918160333333334,1.0,0,0.0,12,4.0
Longview,1027642,United States,US,2022-11-10,3,3,3,19.796950333333328,0.6666666666666666,1,0.3333333333333333,14,4.666666666666667
Los Angeles,1013962,United States,US,2022-11-11,3,3,3,3.2655526666666668,1.0,0,0.0,11,3.6666666666666665
Los Angeles,1013962,United States,US,2022-11-13,3,3,3,3.972533666666667,0.6666666666666666,1,0.3333333333333333,13,4.333333333333333
Mexico City,1010043,Mexico,MX,2022-11-10,3,3,3,4.522550333333333,1.0,0,0.0,12,4.0
