unifiedScreenClass,date,activeUsers,newUsers,sessions,averageSessionDuration,bounceRate,engagedSessions,engagementRate,eventCount,eventCountPerUser
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221110,503,494,536,54.201938268656718,0.72014925373134331,150,0.27985074626865669,2531,5.0318091451292251
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221111,115,100,138,104.06423486956523,0.6376811594202898,50,0.36231884057971014,749,6.51304347826087
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221203,92,84,112,144.09012528571429,0.44642857142857145,62,0.5535714285714286,618,6.7173913043478262
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221202,60,56,79,70.031563354430389,0.54430379746835444,36,0.45569620253164556,408,6.8
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221020,52,51,70,297.98002591428576,0.5,35,0.5,559,10.75
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221113,46,42,61,177.37910313114756,0.67213114754098358,20,0.32786885245901637,389,8.4565217391304355
Add to Cart,20221110,43,41,45,40.373053244444442,0.88888888888888884,5,0.1111111111111111,168,3.9069767441860463
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221114,43,37,61,114.92680545901638,0.70491803278688525,18,0.29508196721311475,259,6.0232558139534884
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221204,36,31,55,48.652925690909093,0.70909090909090911,16,0.29090909090909089,269,7.4722222222222223
Add to Cart,20221203,34,33,41,79.565141414634155,0.73170731707317072,11,0.26829268292682928,190,5.5882352941176467
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221112,34,30,47,61.574451234042556,0.55319148936170215,21,0.44680851063829785,232,6.8235294117647056
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221116,30,26,36,52.965170111111114,0.44444444444444442,20,0.55555555555555558,209,6.9666666666666668
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221117,26,21,30,47.991509966666669,0.43333333333333335,17,0.56666666666666665,182,7
Add to Cart,20221202,24,23,29,50.650918517241372,0.82758620689655171,5,0.17241379310344829,131,5.458333333333333
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221107,24,19,32,340.545817375,0.3125,22,0.6875,210,8.75
Add to Cart,20221020,23,23,29,178.23486220689657,0.65517241379310343,10,0.34482758620689657,127,5.5217391304347823
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,20221130,23,20,25,21.341291679999998,0.4,15,0.6,152,6.6086956521739131
