unifiedScreenClass,date,activeUsers,newUsers,sessions,averageSessionDuration,bounceRate,engagedSessions,engagementRate,eventCount,eventCountPerUser
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-11-10,503,494,536,54.20193826865672,0.7201492537313433,150,0.2798507462686566,2531,5.031809145129225
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-11-11,115,100,138,104.06423486956524,0.6376811594202898,50,0.3623188405797101,749,6.51304347826087
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-12-03,92,84,112,144.0901252857143,0.4464285714285714,62,0.5535714285714286,618,6.717391304347825
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-12-02,60,56,79,70.03156335443039,0.5443037974683544,36,0.4556962025316455,408,6.8
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-11-13,46,42,61,177.37910313114756,0.6721311475409835,20,0.3278688524590163,389,8.456521739130435
Add to Cart,2022-11-10,43,41,45,40.37305324444444,0.8888888888888888,5,0.1111111111111111,168,3.9069767441860463
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-11-14,43,37,61,114.92680545901638,0.7049180327868853,18,0.2950819672131147,259,6.023255813953488
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-12-04,36,31,55,48.652925690909086,0.7090909090909091,16,0.2909090909090908,269,7.472222222222222
Add to Cart,2022-12-03,34,33,41,79.56514141463414,0.7317073170731707,11,0.2682926829268292,190,5.588235294117648
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-11-12,34,30,47,61.57445123404256,0.5531914893617021,21,0.4468085106382978,232,6.823529411764706
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-11-16,30,26,36,52.96517011111112,0.4444444444444444,20,0.5555555555555555,209,6.966666666666667
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-11-17,26,21,30,47.99150996666666,0.4333333333333333,17,0.5666666666666667,182,7.0
Add to Cart,2022-12-02,24,23,29,50.650918517241365,0.8275862068965517,5,0.1724137931034482,131,5.458333333333333
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-11-30,23,20,25,21.34129168,0.4,15,0.6,152,6.608695652173913
Star Trek: The Original Series Tridimensional Chess Set | Star Trek Shop,2022-12-06,23,20,32,83.64398565625001,0.4375,18,0.5625,166,7.217391304347825
Add to Cart,2022-11-11,21,21,24,15.361091333333334,0.8333333333333333,4,0.1666666666666666,101,4.809523809523808
